theta_1_t,d_theta_1_t,q_1_t,theta_2_t,d_theta_2_t,q_2_t
-0.000988333,0,-4.83727e-05,-0.825354,-2.09043,0.83946
-0.000988333,0,-3.63884e-05,-0.831605,-2.19509,0.845824
-0.000988333,0,-2.44042e-05,-0.838932,-2.22707,0.852223
-0.000988333,0,-3.63884e-05,-0.845067,-2.14567,0.858706
-0.000988333,0,-2.44042e-05,-0.85123,-2.10787,0.865226
-0.000988333,0,-3.63884e-05,-0.857859,-2.21835,0.871781
-0.000988333,0,-2.44042e-05,-0.8817,-2.16311,0.896097
-0.000988333,0,-2.44042e-05,-0.888707,-2.25033,0.902701
-0.000988333,0,-3.63884e-05,-0.895452,-2.2358,0.909316
-0.000988333,0,-2.44042e-05,-0.902459,-2.13985,0.915967
-0.000988333,0,-3.63884e-05,-0.908652,-2.18637,0.92281
-0.000988333,0,-3.63884e-05,-0.915222,-2.29976,0.929534
-0.000988333,0,-3.63884e-05,-0.922345,-2.24161,0.936365
-0.000988333,0,-2.44042e-05,-0.92912,-2.16311,0.943087
-0.000988333,0,-2.44042e-05,-0.9354,-2.24161,0.949823
-0.000988333,0,-3.63884e-05,-0.942058,-2.32302,0.956546
-0.000988333,0,-3.63884e-05,-0.948919,-2.25906,0.963233
-0.000988333,0,-3.63884e-05,-0.956013,-2.20381,0.970088
-0.000988333,0,-2.44042e-05,-0.962642,-2.25033,0.976871
-0.000988333,0,-2.44042e-05,-0.968806,-2.29976,0.983618
-0.000988333,0,-3.63884e-05,-0.976307,-2.25906,0.990521
-0.000988333,0,-3.63884e-05,-0.983139,-2.25906,0.997221
-0.000988333,0,-3.63884e-05,-0.989652,-2.29104,1.00387
-0.000988333,0,-2.44042e-05,-0.996455,-2.27359,1.01063
-0.000988333,0,-3.63884e-05,-1.00337,-2.24161,1.01749
-0.000988333,0,-2.44042e-05,-1.01035,-2.20381,1.02414
-0.000988333,0,-3.63884e-05,-1.01698,-2.21835,1.03094
-0.000988333,0,-2.44042e-05,-1.02448,-2.22707,1.03763
-0.000988333,0,-2.44042e-05,-1.03201,-2.18637,1.04679
-0.000988333,0,-3.63884e-05,-1.03914,-2.25033,1.05357
-0.000988333,0,-2.44042e-05,-1.04553,-2.28231,1.06034
-0.000988333,0,-3.63884e-05,-1.07873,-2.16311,1.09403
-0.000988333,0,-2.44042e-05,-1.08641,-2.13113,1.10075
-0.000988333,0,-3.63884e-05,-1.09281,-2.17183,1.1076
-0.000988333,0,-2.44042e-05,-1.0988,-2.27359,1.11444
-0.000988333,0,-3.63884e-05,-1.10618,-2.19509,1.12115
-0.000988333,0,-3.63884e-05,-1.11223,-2.17183,1.12787
-0.000988333,0,-3.63884e-05,-1.11848,-2.22707,1.13466
-0.000988333,0,-3.63884e-05,-1.12537,-2.27359,1.14121
-0.000988333,0,-4.83727e-05,-1.13281,-2.12241,1.14768
-0.000988333,0,-2.44042e-05,-1.13901,-2.10787,1.15432
-0.000988333,0,-3.63884e-05,-1.14508,-2.14567,1.16083
-0.000988333,0,-3.63884e-05,-1.15223,-2.17765,1.1673
-0.000988333,0,-3.63884e-05,-1.15822,-2.13985,1.17394
-0.000988333,0,-3.63884e-05,-1.16465,-2.09915,1.18048
-0.000988333,0,-3.63884e-05,-1.17061,-2.13113,1.1871
-0.000988333,0,-3.63884e-05,-1.1775,-2.22707,1.19349
-0.000988333,0,-3.63884e-05,-1.18442,-2.17183,1.19986
-0.000988333,0,-2.44042e-05,-1.19015,-2.09043,1.2063
